tokenId,category,special,animal,name,powerValue1,powerValue2,powerValue3,displayValue1,displayValue2,displayValue2,presale,oldId
22,land,0,Ant,UNU#22 Ant,Strength,Authenticity,Generosity,Sword - Laser - Horn,Bag,World,,6
23,land,0,Fox,UNU#23 Fox,Peace,Wisdom,Health,Coin,"Pyramid -Triangle, Book",Cross,,7
24,land,0,Warmblood Horse,UNU#24 Warmblood Horse,Strenth,Self,Grace & Beauty,Armour,Sunglasses,Drop,,9
25,land,0,Anteater,UNU#25 Anteater,Wisdom,Trust,Peace,"Pyramid -Triangle, Book",Ribbon,"Coin, Wallet",,10
26,land,0,Antelope,UNU#26 Antelope,Generosity,Grace & Beauty,Wisdom,World,Water Drop,"Pyramid -Triangle, Book",,11
27,land,0,Capuchin Monkey,UNU#27 Capuchin Monkey,Curiosity,Wisdom,Self,Questionmark,"Pyramid -Triangle, Book",Eye,,12
28,land,1,Silverback Gorilla (Ape),UNU#28 Silverback Gorilla (Ape),Strenth,Wisdom,Self,Sword - Laser - Horn,"Pyramid -Triangle, Book",Eye,,13
29,land,0,Baboon,UNU#29 Baboon,Curiosity,Wisdom,Self,Questionmark,"Pyramid -Triangle, Book",Eye,,15
30,land,0,Donkey,UNU#30 Donkey,Love,Trust,Confidence,Heart,"Lock, Moon & Star",Crown-Hat,,17
31,land,0,Bear,UNU#31 Bear,Strength,Curiosity,Authenticity,Sword - Laser - Horn,Questionmark,Bag,,19
32,land,0,Beaver,UNU#32 Beaver,Self,Wisdom,Strength,Eye,"Pyramid -Triangle, Book",Sword - Laser - Horn,,20
33,land,0,Bass,UNU#33 Bass,Freedom,Curiosity,Generosity,-,Questionmark,World,,21
34,land,1,Bison,UNU#34 Bison,Strength,Bravery,,Sword - Laser - Horn,Armour,,,23
35,land,0,Boar (Wild Pig),UNU#35 Boar (Wild Pig),Strenth,Curiosity,Authenticity,Sword - Laser - Horn (teeth),Questionmark,Bag,,24
36,land,0,Pig,UNU#36 Pig,Generosity,Curiosity,Trust,World,Questionmark,"Lock, Moon & Star",,25
37,land,0,Buffalo,UNU#37 Buffalo,Decency,Grace & Beauty,Confidence,Lantern light,Drop,Crown-Hat,,26
38,land,0,Camel,UNU#38 Camel,Calm,Kindness,Trust,Ying Yang,Rose,"Lock, Moon & Star",,28
39,land,1,Tabby Cat,UNU#39 Tabby Cat,Love,Self,Fun,Heart,Eye,Instument,,30
40,land,1,Cattle (Milk Cow),UNU#40 Cattle (Milk Cow),Calm,Generosity,Grace & Beauty,Ying Yang,World,Drop,,32
41,land,0,Chamois (Gams) ,UNU#41 Chamois (Gams) ,Kindness,Freedom,Curiosity,Rose,Wings & Fins,Questionmark,,33
42,land,0,Cheetah,UNU#42 Cheetah,Strength,Faith,Bravery,Sword - Laser - Horn,Ribbon,Armour,,34
43,land,1,Lohmann Brown Chicken,UNU#43 Lohmann Brown Chicken,Health,Curiosity,Generosity,Cross,Questionmark,World,,35
44,land,0,Chimpanzee,UNU#44 Chimpanzee,Strength,Wisdom,Bravery,Sword - Laser - Horn,"Pyramid -Triangle, Book",Armour,,36
45,land,0,Blue Glaucus,UNU#45 Blue Glaucus,Calm,Decency,Health,Ying Yang,Lantern,Cross,,37
46,land,0,Red Deer,UNU#46 Red Deer,Wisdom,Self,Strength,"Pyramid -Triangle, Book",Eye,Sword - Laser - Horn,,38
47,land,0,Coyote,UNU#47 Coyote,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,42
48,land,0,Fallow Deer,UNU#48 Fallow Deer,Health,Decency,,Cross,Lantern,,,48
49,land,0,Bernese Mountain Dog,UNU#49 Bernese Mountain Dog,Love,Self,Trust,Heart,Eye,"Lock, Moon & Star",,50
50,land,0,Labrador Retriever Dog,UNU#50 Labrador Retriever Dog,Curiosity,Wisdom,Self,Questionmark,"Pyramid -Triangle, Book",Eye,,59
51,land,0,Elk (Wapiti),UNU#51 Elk (Wapiti),Strenth,Wisdom,Self,Sword - Laser - Horn,"Pyramid -Triangle, Book",Eye,,60
52,land,0,Emu,UNU#52 Emu,Wisdom,Curiosity,,"Pyramid -Triangle, Book",Questionmark,,,61
53,land,0,Ferret,UNU#53 Ferret,Freedom,Self,Curiosity,Wings & Fins,Eye,Questionmark,,63
54,land,0,Gazelle,UNU#54 Gazelle,Freedom,Kindness,,Wings & Fins,Rose,,,68
55,land,0,Gerbil,UNU#55 Gerbil,Curiosity,Authenticity,Self,Questionmark,Bag,Eye,,69
56,land,0,Giant Panda,UNU#56 Giant Panda,Self,Fun,Curiosity,Eye,Instument,Questionmark,,70
57,land,1,Giraffe,UNU#57 Giraffe,Decency,Grace & Beauty,Kindness,Lantern,Drop,Rose,,71
58,land,0,Gnu,UNU#58 Gnu,Strength,Calm,,Sword - Laser - Horn,Ying Yang,,,72
59,land,0,Goat,UNU#59 Goat,Curiosity,Health,Fun,Questionmark,Cross,Instument,,73
60,land,0,Gorilla,UNU#60 Gorilla,Wisdom,Self,Strength,"Pyramid -Triangle, Book",Eye,Sword - Laser - Horn,,77
61,land,0,Grasshopper,UNU#61 Grasshopper,Curiosity,,,Questionmark,,,,78
62,air,0,Bat,UNU#62 Bat,Curiosity,Health,Decency,Questionmark,Cross,Lantern,,18
63,air,1,Western Honey Bee,UNU#63 Western Honey Bee,Health,Freedom,Decency,Cross,Wings & Fins,Lantern,,22
64,air,0,Cormorant,UNU#64 Cormorant,Curiosity,Freedom,Trust,Questionmark,-,Bag,,41
65,air,0,Crane,UNU#65 Crane,Fun,Curiosity,Authenticity,Instrument - Note,Questionmark,Bag,,44
66,air,0,Crow,UNU#66 Crow,Wisdom,Self,Curiosity,"Pyramid -Triangle, Book",Eye,Questionmark,,46
67,air,0,Curlew,UNU#67 Curlew,Curiosity,Fun,Creativity,Questionmark,Instrument - Note,Brush,,47
68,air,0,Indian Roller,UNU#68 Indian Roller,Wisdom,Self,Curiosity,"Pyramid -Triangle, Book",Eye,Questionmark,,52
69,air,0,Mandarin Duck,UNU#69 Mandarin Duck,Curiosity,Wisdom,Health,Questionmark,"Pyramid -Triangle, Book",Cross,,54
70,air,0,Dove,UNU#70 Dove,Grace & Beauty,Decency,,Drop,Lantern,,,55
71,air,1,Common Dragonfly,UNU#71 Common Dragonfly,Strenth,Self,,Sword - Laser - Horn,Eye,,,56
72,air,0,Sea Eagle,UNU#72 Sea Eagle,Wisdom,Trust,,"Pyramid -Triangle, Book","Lock, Moon & Star",,,57
73,air,0,Falcon,UNU#73 Falcon,Curiosity,Freedom,Self,Questionmark,Wings & Fins,Eye,,62
74,air,1,Flamingo,UNU#74 Flamingo,Love,Trust,,Heart,"Lock, Moon & Star",,,64
75,air,0,Fly,UNU#75 Fly,Curiosity,,,Questionmark,,,,65
76,air,1,Black Kite,UNU#76 Black Kite,Calm,Curiosity,Self,Ying Yang,Questionmark,Eye,,67
77,air,0,Grey Goose,UNU#77 Grey Goose,Decency,Confidence,Generosity,Lantern,Crown-Hat,World,,74
78,air,0,European Goldfinch,UNU#78 European Goldfinch,Generosity,Grace & Beauty,,World,Drop,,,75
79,air,0,Grouse,UNU#79 Grouse,Curiosity,,,Questionmark,,,,79
80,water,0,Giant Grouper (Grouper) ,UNU#80 Giant Grouper (Grouper) ,Generosity,Freedom,Calm & Balance,World,Laser,Ying Yang,,80
81,land,0,Guanaco,UNU#81 Guanaco,Creativity,Bravery,,Brush,Armour,Laurel,,81
82,air,0,Guinea Fowl,UNU#82 Guinea Fowl,Curiosity,Decency,Freedom,Questionmark,Lantern,-,,82
83,land,0,Guinea Pig,UNU#83 Guinea Pig,Generosity,Bravery,Trust,World,Armour,"Lock, Moon & Star",,83
84,land,0,Hamster,UNU#84 Hamster,Authenticity,Fun,Love,Bag,Instrument - Note,Heart,,84
85,air,0,Hawk,UNU#85 Hawk,Freedom,Wisdom,Self,-,"Pyramid -Triangle, Book",Eye,,85
86,land,0,Hedgehog,UNU#86 Hedgehog,Bravery,Wisdom,Authenticity,Armour,"Pyramid -Triangle, Book",Bag,,86
87,air,0,Grey Heron,UNU#87 Grey Heron,Grace & Beauty,Decency,Calm & Balance,Drop,Lantern,Ying Yang,,87
88,water,0,Herring,UNU#88 Herring,Generosity,Clarity,Grace & Beauty,World,Diamond - Lotus,-,,88
89,land,0,Hippopotamus,UNU#89 Hippopotamus,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,89
90,air,0,Hornet,UNU#90 Hornet,Curiosity,Freedom,Trust,Questionmark,-,Bag,,90
91,water,0,Sunflower Sea Star,UNU#91 Sunflower Sea Star,Self,Wisdom,Faith,Sunglasses,"Pyramid -Triangle, Book",Ribbon,,91
92,water,0,Fromia Monilis (Choriaster Starfish) ,UNU#92 Fromia Monilis (Choriaster Starfish) ,Grace & Beauty,Kindness,Decency,Drop,Rose,Lantern,,92
93,land,0,Hyena,UNU#93 Hyena,Fun,Curiosity,Authenticity,Instrument - Note,Questionmark,Bag,,93
94,land,0,Jackal,UNU#94 Jackal,Curiosity,Freedom,Self,Questionmark,Wings & Fins,Sunglasses,,94
95,land,0,Jaguar,UNU#95 Jaguar,Confidence,Faith,Grace & Beauty,Crown-Hat,Scarf,Drop,,95
96,land,0,Kangaroo,UNU#96 Kangaroo,Self,Creativity,Authenticity,Eye,Brush,Bag,,96
97,water,0,Jellyfish,UNU#97 Jellyfish,Calm & Balance,Generosity,Grace & Beauty,Ying Yang,World,-,,97
98,land,0,Koala,UNU#98 Koala,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,98
99,land,0,Komodo Dragon,UNU#99 Komodo Dragon,Curiosity,Health,Decency,Questionmark,Cross,Lantern,,99
100,mystic,1,Kouprey,UNU#100 Kouprey,Strength,Calm & Balance,Trust,Sword - Laser - Horn,Ying Yang,"Lock, Moon & Star",,100
101,land,0,Kudu,UNU#101 Kudu,Health,Freedom,Confidence,Cross,Wings & Fins,Crown-Hat,,101
102,air,0,Lapwing,UNU#102 Lapwing,Freedom,Creativity,Kindness,-,Brush,Rose,,102
103,land,0,Lark,UNU#103 Lark,Fun,Freedom,Love,Instrument - Notes,Wings & Fins,Heart,,103
104,land,0,Lemur,UNU#104 Lemur,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,104
105,land,0,Leopard,UNU#105 Leopard,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,105
106,land,0,Lion,UNU#106 Lion,Bravery,Authenticity,Strength,Armour,Laurel,Sword - Laser - Horn,,106
107,land,0,Llama,UNU#107 Llama,Peace,Kindness,Freedom,Coin,Rose,Wings & Fins,,107
108,water,0,Lobster,UNU#108 Lobster,Fun,Generosity,Grace & Beauty,Instrument - Note,World,-,,108
109,land,0,Locust,UNU#109 Locust,Curiosity,Fun,Health,Questionmark,Instrument - Note,Cross,,109
110,air,0,Black Nose Crappie,UNU#110 Black Nose Crappie,Freedom,Calm & Balance,Strength,Wings & Fins,Ying Yang,Sword - Laser - Horn,,110
111,land,1,Lux (Eurasian Lynx),UNU#111 Lux (Eurasian Lynx),Confidence,Authenticity,Grace & Beauty,Crown-Hat,Bag,Drop,,111
112,land,0,Loris,UNU#112 Loris,Wisdom,Curiosity,Fun,"Pyramid -Triangle, Book",Questionmark,Instrument - Note,,112
113,land,0,Elk,UNU#113 Elk,Wisdom,Decency,Health,"Pyramid -Triangle, Book",Lantern,Cross,,113
114,land,0,Lyrebird,UNU#114 Lyrebird,Love,Grace & Beauty,Freedom,Heart,,Wings & Fins,,114
115,air,0,Magpie,UNU#115 Magpie,Love,Creativity,Freedom,Heart,Brush,Wings & Fins,,115
116,air,0,Mallard,UNU#116 Mallard,Curiosity,Decency,Faith,Questionmark,Lantern,Scarf,,116
117,water,0,Manatee,UNU#117 Manatee,Calm & Balance,Authenticity,Grace & Beauty,Ying Yang,Bag,-,,117
118,land,0,Marten,UNU#118 Marten,Curiosity,Decency,Faith,Questionmark,Lantern,Scarf,,118
119,land,0,Meerkat,UNU#119 Meerkat,Fun,Curiosity,Generosity,Instrument - Note,Questionmark,World,,119
120,land,0,Mink,UNU#120 Mink,Curiosity,Decency,Creativity,Questionmark,Lantern,Brush,,120
121,land,0,Mole,UNU#121 Mole,Decency,Trust,Wisdom,Lantern,"Lock, Moon & Star","Pyramid -Triangle, Book",,121
122,land,0,Monkey,UNU#122 Monkey,Fun,Wisdom,Curiosity,Instrument - Note,"Pyramid -Triangle, Book",Questionmark,,122
123,land,0,Moose,UNU#123 Moose,Faith,Decency,Confidence,Ribbon,Lantern,Sunglasses or Crown-Hat,,123
124,land,0,Mouse,UNU#124 Mouse,Wisdom,Faith,Curiosity,"Pyramid -Triangle, Book",Ribbon,Questionmark,,124
125,water,0,Beluga Whale,UNU#125 Beluga Whale,Freedom,Creativity,Trust,Wings & Fins,Brush,"Lock, Moon & Star",,125
126,land,0,Mule,UNU#126 Mule,Calm & Balance,Kindness,Fun,Ying Yang,Rose,Instrument - Note,,126
127,water,0,Narwhal,UNU#127 Narwhal,Calm & Balance,Kindness,Fun,Ying Yang,Rose,Instrument - Note,,127
128,land,0,Newt,UNU#128 Newt,Decency,Trust,Kindness,Lantern,"Lock, Moon & Star",Rose,,128
129,air,0,Nightingale,UNU#129 Nightingale,Love,Fun,Kindness,Heart,Instrument - Note,Rose,,129
130,water,0,Octopus,UNU#130 Octopus,Fun,Generosity,Creativity,Instrument - Note,World,Brush,,130
131,land,0,Okapi,UNU#131 Okapi,Kindness,Trust,Generosity,Rose,"Lock, Moon & Star",World,,131
132,land,0,Opossum,UNU#132 Opossum,Faith,Decency,Fun,Ribbon,Lantern,Instrument - Note,,132
133,land,0,Oryx,UNU#133 Oryx,Wisdom,Health,Calm & Balance,"Pyramid -Triangle, Book",Cross,Ying Yang,,133
134,land,0,Ostrich,UNU#134 Ostrich,Wisdom,Fun,Curiosity,"Pyramid -Triangle, Book",,Questionmark,,134
135,water,0,Otter,UNU#135 Otter,Fun,Curiosity,Trust,Instrument - Note,Questionmark,"Lock, Moon & Star",,135
136,air,0,Great Grey Owl (Owl),UNU#136 Great Grey Owl (Owl),Calm & Balance,Wisdom,Peace,Ying Yang,"Pyramid -Triangle, Book",Coin,,136
137,land,0,Ox,UNU#137 Ox,Strength,Bravery,Generosity,Sword,Armour,World,,137
138,water,0,Eastern Oyster,UNU#138 Eastern Oyster,Clarity,Generosity,,Diamond - Lotus,World,,,138
139,land,0,Panther,UNU#139 Panther,Confidence,Calm & Balance,Bravery,Crown-Hat,Ying Yang,Armour,,139
140,air,0,Lear's Macaw (Parrot),UNU#140 Lear's Macaw (Parrot),Fun,Freedom,Authenticity,Instrument - Note,-,Bag,,140
141,air,0,Partridge,UNU#141 Partridge,Love,Freedom,,Heart,Wings & Fins,,,141
142,land,0,Peafowl,UNU#142 Peafowl,Self,Confidence,Grace & Beauty,Eye,Crown-Hat,Drop,,142
143,air,0,Pelican,UNU#143 Pelican,Generosity,,,World,,,,143
144,water,0,Emperor Penguin,UNU#144 Emperor Penguin,Fun,Kindness,Grace & Beauty,Instrument - Note,Rose,Drop,,144
145,air,0,Golden Pheasant,UNU#145 Golden Pheasant,Health,Fun,Curiosity,Cross,Instrument - Note,Questionmark,,145
146,land,0,Lady Amherst's Pheasant,UNU#146 Lady Amherst's Pheasant,Wisdom,Curiosity,,"Pyramid -Triangle, Book",Questionmark,,,146
147,land,0,Pig,UNU#147 Pig,Peace,Curiosity,Generosity,Coin,Questionmark,World,,147
148,land,0,Boar,UNU#148 Boar,Strength,Curiosity,,Sword - Laser - Horn,Questionmark,,,148
149,air,0,Homing Pigeon,UNU#149 Homing Pigeon,Love,Peace,Calm & Balance,Heart,Coin,Ying Yang,,149
150,water,0,Sea Horse,UNU#150 Sea Horse,Health,Faith,Kindness,Cross,Ribbon,Rose,,150
151,land,0,Porcupine,UNU#151 Porcupine,Strength,Self,Bravery,Sword - Laser - Horn,Eye,Armour,,151
152,land,0,Peacock ,UNU#152 Peacock ,Confidence,Beauty,Peace,Crown-Hat,-,Coin,,152
153,water,0,Porpoise,UNU#153 Porpoise,Wisdom,Self,Grace & Beauty,"Pyramid -Triangle, Book",Eye,"Drop,Drop",,153
154,land,0,Prairie Dog,UNU#154 Prairie Dog,Curiosity,Fun,Kindness,Questionmark,Instrument - Note,Rose,,154
155,air,0,Quail,UNU#155 Quail,Self,Calm & Balance,,Eye,Ying Yang,,,155
156,air,0,Quelea,UNU#156 Quelea,Confidence,Faith,Curiosity,Crown-Hat,Ribbon,Questionmark,,156
157,land,0,Rabbit,UNU#157 Rabbit,Curiosity,Love,Fun,Questionmark,Heart,Instrument - Note,,157
158,land,0,Raccoon,UNU#158 Raccoon,Calm & Balance,Kindness,Fun,Ying Yang,Rose,Instrument - Note,,158
159,air,0,Rail,UNU#159 Rail,Curiosity,Freedom,Decency,Questionmark,-,Lantern,,159
160,land,0,Giant Eland,UNU#160 Giant Eland,Decency,Calm & Balance,Bravery,Lantern,Ying Yang,Armour,,160
161,land,0,Sheep,UNU#161 Sheep,Generosity,Decency,Kindness,World,Lantern,Rose,,161
162,land,0,Rat,UNU#162 Rat,Curiosity,Fun,Authenticity,Questionmark,Instrument - Note,Bag,,162
163,air,0,Raven,UNU#163 Raven,Confidence,Bravery,Self,Crown-Hat,Armour,Eye,,163
164,land,0,Red Deer,UNU#164 Red Deer,Decency,Grace & Beauty,Kindness,Lantern,Drop,Rose,,164
165,land,0,Red Panda,UNU#165 Red Panda,Curiosity,Kindness,Creativity,Questionmark,Rose,Brush,,165
166,land,0,Reindeer (Caribou),UNU#166 Reindeer (Caribou),Decency,Grace & Beauty,Kindness,lantern,Drop,Rose,,166
167,land,0,Rhinoceros,UNU#167 Rhinoceros,Strength,Peace,Decency,Sword - Laser - Horn,Coin,Lantern,,167
168,air,0,Rook,UNU#168 Rook,Freedom,Fun,Self,-,Instrument - Note,Eye,,168
169,air,0,Ruff,UNU#169 Ruff,Wisdom,Curiosity,Faith,"Pyramid -Triangle, Book",Questionmark,Ribbon,,169
170,land,0,Salamander,UNU#170 Salamander,Decency,Grace & Beauty,Kindness,Lantern,Drop,Rose,,170
171,air,0,Scarlet Macaw,UNU#171 Scarlet Macaw,Freedom,Fun,Trust,Wings & Fins,Instrument - Note,"Lock, Moon & Star",,171
172,land,0,Sand Dollar,UNU#172 Sand Dollar,Self,Calm & Balance,,Eye,Ying Yang,,,172
173,air,0,Sandpiper,UNU#173 Sandpiper,Wisdom,Freedom,Clarity,"Pyramid -Triangle, Book",-,Diamond - Lotus,,173
174,land,0,Indochinese Tiger,UNU#174 Indochinese Tiger,Generosity,Decency,Grace & Beauty,World,Lantern,Drop,,174
175,land,0,Scorpion,UNU#175 Scorpion,Strength,Faith,Self,Sword,Ribbon,Eye,,175
176,land,0,Elephant Seal,UNU#176 Elephant Seal,Fun,Calm & Balance,Clarity,Instrument - Note,Ying Yang,Diamond - Lotus,,176
177,water,0,Sea Urchin,UNU#177 Sea Urchin,Calm & Balance,Strength,Trust,Ying Yang,Sword - Laser - Horn,"Lock, Moon & Star",,177
178,water,0,Zebra Seahorse,UNU#178 Zebra Seahorse,Fun,Grace & Beauty,Decency,Instrument - Note,Drop,Lantern,,178
179,water,0,Harbor Seal (Seal) ,UNU#179 Harbor Seal (Seal) ,Curiosity,Generosity,Fun,Questionmark,World,Instrument - Note,,179
180,land,0,Bengal Tiger,UNU#180 Bengal Tiger,Strength,Confidence,Bravery,Sword - Laser - Horn,Crown-Hat,Armour,,180
181,land,0,Sumatra Tiger,UNU#181 Sumatra Tiger,Love,Grace & Beauty,Peace,Heart,Drop,Coin,,181
182,water,0,Shrimp,UNU#182 Shrimp,Generosity,Decency,,World,Lantern,,,182
183,land,0,Skunk,UNU#183 Skunk,Curiosity,Fun,Authenticity,Questionmark,Instrument - Note,Bag,,183
184,land,1,Burgundy Snail,UNU#184 Burgundy Snail,Calm & Balance,Generosity,Peace,Ying Yang,World,Coin,,184
185,air,0,Picinae,UNU#185 Picinae,Self,Faith,Curiosity,Eye,Ribbon,Questionmark,,185
186,land,0,Widow Spider,UNU#186 Widow Spider,Calm & Balance,Wisdom,Authenticity,Ying Yang,"Pyramid -Triangle, Book",Bag,,186
187,water,0,Market Squid (Squid),UNU#187 Market Squid (Squid),Curiosity,Fun,Generosity,Questionmark,Instrument - Note,World,,187
188,land,0,Squirrel,UNU#188 Squirrel,Love,Authenticity,Curiosity,Heart,Bag,Questionmark,,188
189,air,0,Starling,UNU#189 Starling,Wisdom,Self,Confidence,"Pyramid -Triangle, Book",Eye,Crown-Hat,,189
190,water,0,Bluespotted Ray ,UNU#190 Bluespotted Ray ,Freedom,Strength,Calm & Balance,Wings & Fins,Sword - Laser - Horn,Ying Yang,,190
191,land,0,Stinkbug,UNU#191 Stinkbug,Calm & Balance,Decency,,Ying Yang,Lantern,,,191
192,land,0,Oriental Stork,UNU#192 Oriental Stork,Freedom,Wisdom,Decency,Wings & Fins,"Pyramid -Triangle, Book",Lantern,,192
193,air,0,Swallow,UNU#193 Swallow,Fun,Decency,,Insrtument,,Lantern,,193
194,water,0,Swan,UNU#194 Swan,Love,Creativity,Clarity,Heart,Brush,Diamond - Lotus,,194
195,land,0,Tapir,UNU#195 Tapir,Curiosity,Calm & Balance,Kindness,Questionmark,Ying Yang,Rose,,195
196,land,0,Tarsier,UNU#196 Tarsier,Wisdom,Decency,Kindness,"Pyramid -Triangle, Book",Lantern,Rose,,196
197,land,0,Termite,UNU#197 Termite,Confidence,Curiosity,,Sunglasses,Questionmark,,,197
198,land,0,Siberian Tiger (Tiger) ,UNU#198 Siberian Tiger (Tiger) ,Strength,Bravery,Confidence,Sword - Laser - Horn,Armour,Crown-Hat,,198
199,land,0,Kamboo Frog,UNU#199 Kamboo Frog,Sellf,Generosity,,Eye,World,,,199
200,water,0,River Trout (Trout),UNU#200 River Trout (Trout),Grace & Beauty,Freedom,,Drop,Wings & Fins,,,200
201,land,0,Turkey,UNU#201 Turkey,Generosity,Love,Kindness,World,Heart,Rose,,201
202,land,0,Yellow-Bellied Slider Turtle,UNU#202 Yellow-Bellied Slider Turtle,Health,Calm & Balance,Peace,Cross,Ying Yang,Coin,,202
203,land,0,Vicuña,UNU#203 Vicuña,Love,Curiosity,Kindness,Heart,Questionmark,Rose,,203
204,land,0,Viper,UNU#204 Viper,Wisdom,Self,,"Pyramid -Triangle, Book",Eye,,,204
205,air,0,Vulture,UNU#205 Vulture,Freedom,Curiosity,,Wings & Fins,Questionmark,,,205
206,land,0,Wallaby,UNU#206 Wallaby,Kindness,Generosity,Love,Rose,World,Heart,,206
207,water,0,Walrus,UNU#207 Walrus,Curiosity,Kindness,,Questionmark,Rose,,,207
208,land,0,Wasp,UNU#208 Wasp,Curiosity,Freedom,Strength,Questionmark,-,Sword - Laser - Horn,,208
209,land,0,Water buffalo,UNU#209 Water buffalo,Strength,Decency,Trust,"Sword - Laser - Horn, Horn",Lantern,Moon and Star,,209
210,land,0,Weasel,UNU#210 Weasel,Wisdom,Curiosity,,"Pyramid -Triangle, Book",Questionmark,,,210
211,water,0,Humpback Whale,UNU#211 Humpback Whale,Love,Freedom,Kindness,Heart,Wings & Fins,Rose,,211
212,land,0,Wolf,UNU#212 Wolf,Bravery,Wisdom,Strength,Armour,"Pyramid -Triangle, Book",Sword - Laser - Horn,,212
213,land,0,Wolverine,UNU#213 Wolverine,Strength,Bravery,,Sword - Laser - Horn,Armour,,,213
214,land,0,Wombat,UNU#214 Wombat,Generosity,Love,Kindness,World,Heart,Rose,,214
215,air,0,Woodcock,UNU#215 Woodcock,Freedom,Curiosity,Calm & Balance,Wings & Fins,Questionmark,Ying Yang,,215
216,air,0,Woodpecker,UNU#216 Woodpecker,Self,Generosity,Wisdom,Eye,World,"Pyramid -Triangle, Book",,216
217,land,0,Worm,UNU#217 Worm,Self,Calm & Balance,,Eye,Ying Yang,,,217
218,air,0,Splendid Fairy Wren,UNU#218 Splendid Fairy Wren,Freedom,Curiosity,Peace,Wings & Fins,Questionmark,Coin,,218
219,land,0,Yak,UNU#219 Yak,Strength,Trust,Kindness,Sword - Laser - Horn,"Lock, Moon & Star",Rose,,219
220,land,0,Zebra,UNU#220 Zebra,Strength,Bravery,Wisdom,Sword - Laser - Horn,Armour,"Pyramid -Triangle, Book",,220
221,mystic,0,Dragon ,UNU#221 Dragon ,Strength,Bravery,Wisdom,Sword - Laser - Horn,Armour,"Pyramid -Triangle, Book",,221
222,mystic,1,Phoenix,UNU#222 Phoenix,Strength,Confidence,Faith,Sword - Laser - Horn,Crown-Hat,"Ribbon, Scarf",,222
223,mystic,1,Qilin,UNU#223 Qilin,Strength,Love,Creativity,Sword - Laser - Horn,Heart,Brush,,223
224,mystic,1,Unicorn,UNU#224 Unicorn,Love,Peace,Creativity,Heart,Coin,Brush,,224
225,mystic,1,Centaur,UNU#225 Centaur,Strength,Wisdom,Bravery,Sword - Laser - Horn,"Pyramid -Triangle, Book",Armour,,225
226,land,0,Praying Mantis,UNU#226 Praying Mantis,Decency,Wisdom,Strength,Lantern,"Pyramid -Triangle, Book",Sword - Laser - Horn,,226
